Titre,Prix,Fabricant,Carrosserie,Energie,Puissance fiscale,Boite,Transmission,Kilometrage,Annee,Inserée le,Model
Audi Q2,82000,Audi,SUV/4x4,Essence,6,Automatique,Traction,76000,08.2018,26.02.2024,Q2
Land Rover Range Rover Evoque,155000,Land Rover,SUV/4x4,Essence,15,Automatique,Traction,104000,06.2016,26.02.2024,Range Rover Evoque
KIA Picanto,33000,KIA,Citadine,Essence,5,Automatique,Traction,159000,10.2014,26.02.2024,Picanto
BMW Série 7,100000,BMW,Citadine,Essence,30,Automatique,Traction,140000,01.2010,26.02.2024,Série 7
Land Rover Range Rover Sport HSE    TU 239,238000,Land Rover,SUV/4x4,Essence,24,Automatique,Traction,90000,05.2014,26.02.2024,Range Rover Sport HSE    TU 239
BMW Série 4 Gran Coupé 418i KIT M GRAN COUPÉ,152000,BMW,Berline,Essence,7,Automatique,Traction,90000,06.2019,26.02.2024,Série 4 Gran Coupé 418i KIT M GRAN COUPÉ
Mahindra KUV 100,40900,Mahindra,SUV/4x4,Essence,5,Manuelle,Traction,1000,12.2023,26.02.2024,KUV 100
Ford Ecosport très propre,63000,Ford,SUV/4x4,Essence,7,Automatique,Automatique,87000,01.2019,26.02.2024,Ecosport très propre
Mercedes-Benz Classe C,118000,Mercedes,Berline,Essence,8,Automatique,Traction,133000,05.2016,26.02.2024,-Benz Classe C
Mercedes-Benz GLC,210000,Mercedes,SUV/4x4,Essence,12,Automatique,Intégrale,83000,04.2016,26.02.2024,-Benz GLC
Alfa Romeo Giulietta,75000,Alfa Romeo,Compacte,Essence,7,Manuelle,Propulsion,30000,05.2019,26.02.2024,Giulietta
Porsche Cayenne Coupé,435000,Porsche,SUV/4x4,Essence,25,Automatique,Intégrale,56000,06.2019,26.02.2024,Cayenne Coupé
BMW Série 5,168000,BMW,Berline,Essence,10,Automatique,Traction,59000,12.2017,26.02.2024,Série 5
KIA Sportage,98000,KIA,SUV/4x4,Essence,8,Automatique,Traction,98000,09.2019,26.02.2024,Sportage
Volkswagen Tiguan Connect,105000,Volkswagen,SUV/4x4,Essence,9,Manuelle,Traction,121000,08.2019,16.02.2024,Tiguan Connect
BMW Série 2 Active Tourer,75000,BMW,Autres,Essence,7,Automatique,Traction,114000,09.2016,26.02.2024,Série 2 Active Tourer
Mercedes-Benz Classe C kit AMG,185000,Mercedes,Berline,Hybride essence,11,Automatique,Propulsion,36000,12.2018,26.02.2024,-Benz Classe C kit AMG
Opel Antara,52000,Opel,SUV/4x4,Essence,10,Manuelle,Manuelle,86000,03.2010,26.02.2024,Antara
Mazda 3,79000,Mazda,Coupé,Essence,6,Automatique,Traction,64000,07.2020,26.02.2024,3
Land Rover Range Rover Evoque,170000,Land Rover,SUV/4x4,Diesel,8,Automatique,Traction,34000,04.2018,26.02.2024,Range Rover Evoque
Hyundai Grand i10 High Grade,49500,Hyundai,Citadine,Essence,5,Manuelle,Manuelle,13400,11.2021,26.02.2024,Grand i10 High Grade
Hyundai Accent,30000,Hyundai,Berline,Essence,6,Manuelle,Traction,229000,12.2012,26.02.2024,Accent
Volkswagen Golf 7 R-line,78000,Volkswagen,Utilitaire,Essence,5,Automatique,Propulsion,130000,02.2017,26.02.2024,Golf 7 R-line
Volkswagen Polo 7 Plus,29500,Volkswagen,Citadine,Essence,4,Manuelle,Traction,207000,10.2014,26.02.2024,Polo 7 Plus
Honda City,46000,Honda,Berline,Essence,7,Automatique,Traction,110000,03.2017,26.02.2024,City
Porsche Cayenne,155000,Porsche,SUV/4x4,Diesel,15,Automatique,Intégrale,120000,03.2012,26.02.2024,Cayenne
Ford Kuga Titanium,80000,Ford,SUV/4x4,Essence,8,Manuelle,Intégrale,97000,06.2019,16.02.2024,Kuga Titanium
Haval H6 Luxury 1.5T,117000,Haval,SUV/4x4,Essence,8,Automatique,Traction,17000,04.2022,26.02.2024,H6 Luxury 1.5T
Mercedes-Benz CLA,155000,Mercedes,Autres,Diesel,6,Automatique,Traction,60000,03.2020,26.02.2024,-Benz CLA
Volkswagen Golf 8 Style,128000,Volkswagen,Berline,Hybride essence,8,Automatique,Traction,75000,01.2021,15.02.2024,Golf 8 Style
BMW Série 5,178000,BMW,Berline,Essence,10,Automatique,Traction,75000,03.2020,26.02.2024,Série 5
Peugeot Boxer,19800,Peugeot,Utilitaire,Diesel,7,Manuelle,Traction,200100,06.2007,26.02.2024,Boxer
Jaguar E-Pace R-DYNAMIC S,290000,Jaguar,SUV/4x4,Essence,12,Automatique,Intégrale,37000,02.2021,26.02.2024,E-Pace R-DYNAMIC S
Mahindra KUV 100,32000,Mahindra,SUV/4x4,Essence,5,Manuelle,Traction,54000,04.2019,26.02.2024,KUV 100
Mercedes-Benz Classe C AMG,107000,Mercedes,Berline,Essence,8,Automatique,Automatique,157000,05.2014,26.02.2024,-Benz Classe C AMG
KIA Rio 5p GX,59500,KIA,Compacte,Essence,5,Manuelle,Traction,12000,08.2022,26.02.2024,Rio 5p GX
KIA Sportage Comfort BVA,83000,KIA,SUV/4x4,Essence,8,Automatique,Traction,130000,06.2018,26.02.2024,Sportage Comfort BVA
Mercedes-Benz Classe S,129000,Mercedes,Berline,Essence,30,Automatique,Traction,99000,08.2009,26.02.2024,-Benz Classe S
Mini Countryman,59000,Mini,Citadine,Essence,6,Manuelle,Traction,120000,02.2015,26.02.2024,Countryman
Alfa Romeo Mito,28500,Alfa Romeo,Citadine,Diesel,5,Manuelle,Traction,213000,08.2010,26.02.2024,Mito
Porsche Cayenne,78000,Porsche,SUV/4x4,Essence,21,Automatique,Traction,224000,04.2008,26.02.2024,Cayenne
Mahindra KUV 100 K8,34800,Mahindra,Coupé,Essence,5,Manuelle,Traction,21000,01.2020,26.02.2024,KUV 100 K8
KIA Picanto,42000,KIA,Citadine,Essence,5,Manuelle,Traction,91000,12.2021,26.02.2024,Picanto
Mercedes-Benz Classe E business,142000,Mercedes,Berline,Essence,9,Automatique,Traction,130000,02.2018,26.02.2024,-Benz Classe E business
Nissan Juke,42500,Nissan,SUV/4x4,Essence,6,Manuelle,Traction,105000,04.2012,26.02.2024,Juke
Ssangyong Rexton,38000,Ssangyong,SUV/4x4,Diesel,11,Manuelle,Traction,210000,01.2009,26.02.2024,Rexton
Ford Ecosport,62900,Ford,SUV/4x4,Essence,7,Automatique,Traction,92000,08.2019,26.02.2024,Ecosport
Peugeot 508,34900,Peugeot,Berline,Diesel,6,Automatique,Traction,234000,03.2011,26.02.2024,508
Land Rover Discovery LR3 HSE,69000,Land Rover,SUV/4x4,Essence,23,Automatique,Propulsion,185000,08.2007,26.02.2024,Discovery LR3 HSE
Hyundai Veloster,44900,Hyundai,Citadine,Essence,8,Automatique,Traction,140000,08.2016,26.02.2024,Veloster
KIA Sportage,79900,KIA,Citadine,Essence,8,Automatique,Traction,117000,04.2018,26.02.2024,Sportage
BMW X3,75000,BMW,SUV/4x4,Essence,11,Automatique,Traction,215000,06.2014,26.02.2024,X3
Fiat Fiorino utilitaire,36000,Fiat,Utilitaire,Diesel,5,Manuelle,Traction,101000,02.2021,26.02.2024,Fiorino utilitaire
Volkswagen Amarok,55000,Volkswagen,Pick up,Diesel,7,Manuelle,Traction,264000,10.2012,26.02.2024,Amarok
Volkswagen Golf 7 smart line,67000,Smart,Coupé,Essence,6,Automatique,Traction,95000,09.2018,26.02.2024,Volkswagen Golf 7 smart line
Volkswagen Golf 8 1er Édition,123000,Volkswagen,Compacte,Essence,8,Manuelle,Traction,70000,08.2020,26.02.2024,Golf 8 1er Édition
Skoda Octavia comfort line,67000,Skoda,Citadine,Essence,8,Automatique,Traction,103000,08.2018,26.02.2024,Octavia comfort line
Ford Kuga,120000,Ford,Citadine,Essence,11,Automatique,Traction,30000,11.2022,26.02.2024,Kuga
Mercedes-Benz Classe C KIT AMG,66000,Mercedes,Berline,Essence,9,Automatique,Propulsion,226000,06.2011,26.02.2024,-Benz Classe C KIT AMG
Isuzu NKR 66 Simple Cabine,52000,Isuzu,Autres,Diesel,17,Manuelle,Traction,298000,07.2004,26.02.2024,NKR 66 Simple Cabine
KIA Sorento BVA,67000,KIA,SUV/4x4,Diesel,12,Automatique,Intégrale,230000,10.2013,26.02.2024,Sorento BVA
Volkswagen Passat,35000,Volkswagen,Berline,Diesel,6,Manuelle,Traction,437000,01.2008,26.02.2024,Passat
Suzuki Dzire comfort,38500,Suzuki,Berline,Essence,5,Manuelle,Traction,104000,01.2021,26.02.2024,Dzire comfort
Citroën DS 7 Performance Line,119000,Citroën,SUV/4x4,Essence,10,Automatique,Traction,117000,05.2019,26.02.2024,DS 7 Performance Line
Volkswagen Golf 7,67500,Volkswagen,Compacte,Essence,5,Manuelle,Traction,76000,11.2016,26.02.2024,Golf 7
Haval H6,85000,Haval,Citadine,Essence,9,Automatique,Traction,55000,08.2019,26.02.2024,H6
Mercedes-Benz CLS DESIGNO,63500,Mercedes,Berline,Essence,15,Automatique,Propulsion,160000,03.2009,26.02.2024,-Benz CLS DESIGNO
Mercedes-Benz Classe C,82000,Mercedes,Citadine,Essence,19,Automatique,Traction,213000,12.2012,26.02.2024,-Benz Classe C
KIA Sportage,93000,KIA,SUV/4x4,Essence,8,Automatique,Traction,80000,01.2020,26.02.2024,Sportage
Chery Tiggo 8,92000,Chery,Citadine,Essence,9,Automatique,Traction,74000,12.2021,26.02.2024,Tiggo 8
Peugeot 308,47000,Peugeot,Citadine,Essence,5,Manuelle,Traction,158000,01.2019,26.02.2024,308
Seat Leon Style,57000,Seat,Citadine,Essence,5,Manuelle,Traction,98000,02.2018,26.02.2024,Leon Style
Ford Transit,38000,Ford,Utilitaire,Diesel,6,Manuelle,Traction,256000,09.2017,26.02.2024,Transit
BMW Série 5,77000,BMW,Berline,Essence,10,Automatique,Traction,197000,12.2012,26.02.2024,Série 5
BMW Série 4 Gran Coupé,115000,BMW,Berline,Essence,7,Automatique,Traction,51000,05.2019,26.02.2024,Série 4 Gran Coupé
Dongfeng S50,67660,Dongfeng,Berline,Essence,7,Automatique,Traction,65000,07.2021,26.02.2024,S50
Hyundai Grand i10,53000,Hyundai,Citadine,Essence,5,Automatique,Traction,54000,04.2021,26.02.2024,Grand i10
Renault Clio Boite Auto,50500,Renault,Citadine,Essence,6,Automatique,Traction,98000,03.2019,26.02.2024,Clio Boite Auto
Ford Kuga,68000,Ford,Citadine,Essence,11,Automatique,Traction,188000,07.2017,26.02.2024,Kuga
Citroën C4 Cactus,36500,Citroën,Citadine,Essence,5,Manuelle,Traction,169000,05.2015,26.02.2024,C4 Cactus
ZXAUTO Grand Tiger Double Cabine Premiere main,43500,Other,SUV/4x4,Diesel,9,Manuelle,Traction,240000,09.2019,26.02.2024,ZXAUTO Grand Tiger Double Cabine Premiere main
Toyota RAV 4 Premiere main,98000,Toyota,SUV/4x4,Essence,9,Automatique,Traction,128000,02.2019,26.02.2024,RAV 4 Premiere main
Peugeot 3008 Gtline,79000,Peugeot,SUV/4x4,Essence,6,Automatique,Automatique,148000,10.2019,26.02.2024,3008 Gtline
Mercedes-Benz Classe C 180 Pack AMG,208000,Mercedes,Berline,Hybride essence,9,Automatique,Traction,40000,02.2022,26.02.2024,-Benz Classe C 180 Pack AMG
Mercedes-Benz GLA Pack AMG,185000,Mercedes,SUV/4x4,Essence,8,Automatique,Traction,25000,09.2021,26.02.2024,-Benz GLA Pack AMG
Haval Jolion,87000,Haval,SUV/4x4,Essence,9,Automatique,Traction,40000,07.2022,26.02.2024,Jolion
Chery Tiggo 2,43500,Chery,SUV/4x4,Essence,6,Manuelle,Traction,60000,01.2020,26.02.2024,Tiggo 2
Mercedes-Benz CLA Pack AMG,169000,Mercedes,Citadine,Essence,7,Automatique,Traction,20000,10.2020,26.02.2024,-Benz CLA Pack AMG
Mercedes-Benz CLA AMG,169000,Mercedes,Berline,Essence,8,Automatique,Traction,89000,01.2021,26.02.2024,-Benz CLA AMG
BMW Série 3 318i,88000,BMW,Berline,Essence,7,Automatique,Traction,117000,08.2017,26.02.2024,Série 3 318i
Peugeot Partner,48000,Peugeot,Utilitaire,Diesel,5,Manuelle,Manuelle,99000,12.2020,26.02.2024,Partner
Great Wall Poer,97000,Great Wall,Pick up,Diesel,11,Manuelle,Traction,9000,07.2022,26.02.2024,Poer
Volkswagen Golf 7 R_line,80000,Volkswagen,Citadine,Essence,6,Manuelle,Traction,130000,09.2018,26.02.2024,Golf 7 R_line
Volkswagen Polo,31500,Volkswagen,Citadine,Essence,5,Manuelle,Traction,215000,02.2011,26.02.2024,Polo
BMW Série 5,118000,BMW,Berline,Essence,9,Automatique,Propulsion,120000,04.2016,26.02.2024,Série 5
Ssangyong Actyon Sports 4*4,40000,Ssangyong,SUV/4x4,Diesel,7,Automatique,Traction,200000,07.2017,26.02.2024,Actyon Sports 4*4
Audi A5 Cabriolet,87000,Audi,Cabriolet,Essence,11,Automatique,Traction,130000,01.2014,26.02.2024,A5 Cabriolet
Mercedes-Benz GLC Coupé kit AMG,280000,Mercedes,SUV/4x4,Hybride rechargeable essence,10,Automatique,Automatique,65000,11.2020,26.02.2024,-Benz GLC Coupé kit AMG
Seat Ibiza FR 1.6,68000,Seat,Citadine,Essence,6,Automatique,Traction,100000,09.2020,26.02.2024,Ibiza FR 1.6
BMW Série 1,47000,BMW,Citadine,Essence,7,Manuelle,Traction,226000,05.2012,26.02.2024,Série 1
Toyota Prado,62000,Toyota,SUV/4x4,Diesel,12,Manuelle,Traction,370000,05.2002,26.02.2024,Prado
Mazda 6,51000,Mazda,Berline,Essence,9,Automatique,Traction,125000,11.2014,26.02.2024,6
KIA Sorento,88000,KIA,Citadine,Diesel,12,Automatique,Traction,129000,06.2015,26.02.2024,Sorento
Volkswagen Golf 7 Rline 1.4,105000,Volkswagen,Compacte,Essence,7,Manuelle,Traction,90000,03.2019,26.02.2024,Golf 7 Rline 1.4
Volkswagen Tiguan,52000,Volkswagen,SUV/4x4,Essence,12,Automatique,Intégrale,175000,01.2013,26.02.2024,Tiguan
